user_id,age,gender,country,city,signup_date,membership_type,preferred_device,customer_segment,avg_previous_orders,lifetime_value
232382,57,Male,Germany,Berlin,2024-06-07,Free,Mobile,Regular,10,1005.34
928450,19,Male,Germany,Munich,2025-02-19,Free,Desktop,Budget,1,263.38
122267,60,Male,USA,Seattle,2024-07-18,Gold,Tablet,Regular,2,138.86
405976,18,Other,Singapore,Singapore,2024-07-02,Free,Mobile,Premium,12,1516.28
551556,46,Male,India,Hyderabad,2025-03-30,Free,Mobile,Regular,5,452.54
701261,32,Other,India,Bengaluru,2023-08-08,Free,Mobile,Regular,9,744.82
600090,49,Male,India,Delhi,2023-12-13,Free,Mobile,VIP,6,533.86
378209,35,Other,India,Pune,2023-01-22,Gold,Mobile,VIP,9,870.94
592089,47,Male,UK,London,2024-06-13,Free,Tablet,Regular,11,906.94
978536,50,Male,USA,New York,2023-10-15,Free,Desktop,Regular,6,1022.96
138528,35,Male,USA,Austin,2024-08-07,Silver,Mobile,Regular,6,891.81
906139,23,Female,USA,Austin,2023-05-18,Gold,Mobile,Premium,4,432.19
419917,43,Female,India,Hyderabad,2024-02-29,Gold,Desktop,Budget,1,50.0
460146,20,Male,India,Hyderabad,2023-12-25,Free,Mobile,Budget,0,143.62
647010,53,Male,India,Mumbai,2024-11-17,Free,Mobile,Premium,6,632.7
940430,55,Female,Germany,Munich,2023-07-01,Free,Mobile,Premium,4,261.67
606421,44,Male,Canada,Toronto,2025-03-16,Free,Mobile,Regular,0,250.98
316911,46,Male,USA,New York,2023-03-26,Free,Mobile,Regular,9,1030.24
961166,21,Female,India,Pune,2023-08-02,Gold,Desktop,Regular,9,1153.27
738480,27,Female,India,Hyderabad,2024-05-18,Free,Mobile,Budget,9,1070.17
769784,30,Male,Singapore,Singapore,2023-02-13,Free,Desktop,Regular,5,809.51
652678,39,Female,USA,New York,2024-04-07,Silver,Desktop,Regular,11,1158.75
692250,19,Other,USA,Austin,2024-02-14,Platinum,Mobile,Regular,6,720.05
948652,19,Male,India,Pune,2023-08-14,Free,Mobile,Premium,2,325.45
430577,61,Male,USA,Austin,2024-01-01,Free,Mobile,Budget,7,386.91
113157,65,Male,India,Mumbai,2023-12-02,Free,Mobile,Budget,8,982.42
517582,58,Male,India,Hyderabad,2024-03-19,Free,Tablet,Budget,7,675.73
906647,36,Other,Australia,Sydney,2024-07-13,Free,Mobile,Budget,11,1409.97
777542,47,Female,India,Bengaluru,2025-01-17,Free,Desktop,Regular,14,1584.48
637659,61,Other,India,Hyderabad,2023-03-02,Free,Mobile,Regular,8,952.41
555487,62,Female,Australia,Melbourne,2025-03-28,Silver,Tablet,Premium,14,1727.35
818103,48,Male,India,Bengaluru,2024-09-10,Free,Mobile,Premium,3,350.07
664678,35,Male,USA,New York,2023-11-14,Free,Desktop,Regular,7,989.34
769361,50,Female,Canada,Toronto,2023-12-23,Free,Mobile,Premium,16,1943.79
935156,52,Other,India,Delhi,2023-02-23,Gold,Mobile,Budget,3,361.05
799041,58,Female,India,Bengaluru,2025-06-13,Free,Mobile,Regular,8,641.43
725480,27,Female,Canada,Vancouver,2024-02-23,Silver,Desktop,Premium,4,518.47
973999,23,Male,USA,Seattle,2024-04-21,Free,Mobile,Budget,9,888.72
609751,50,Other,India,Delhi,2023-12-17,Gold,Mobile,Regular,2,459.08
645898,22,Male,USA,Austin,2024-06-07,Silver,Desktop,Regular,11,1309.4
800941,24,Female,UK,Manchester,2024-04-20,Free,Desktop,Budget,8,1191.51
539873,35,Female,USA,Seattle,2024-07-03,Free,Desktop,VIP,5,720.71
492714,49,Other,UK,Manchester,2024-07-02,Free,Mobile,Premium,10,1375.85
634843,53,Male,Singapore,Singapore,2024-07-16,Gold,Mobile,Premium,0,240.19
133388,21,Male,UAE,Abu Dhabi,2023-08-31,Free,Mobile,VIP,13,1362.35
988502,19,Female,India,Hyderabad,2023-09-08,Free,Mobile,Regular,10,911.31
890807,35,Other,USA,New York,2024-04-08,Free,Mobile,Budget,13,1336.12
776804,20,Other,Canada,Toronto,2023-05-12,Free,Mobile,Regular,8,775.32
290279,19,Female,Germany,Berlin,2023-12-06,Free,Tablet,Regular,16,1675.2
861085,18,Male,UAE,Abu Dhabi,2024-08-25,Free,Mobile,Budget,12,1540.23
960031,32,Female,India,Bengaluru,2023-12-16,Free,Mobile,Regular,7,776.49
186622,23,Male,India,Bengaluru,2023-11-20,Gold,Desktop,VIP,12,1341.11
610557,47,Male,India,Bengaluru,2024-02-11,Platinum,Mobile,Budget,6,849.62
790040,31,Male,UAE,Dubai,2023-09-06,Gold,Desktop,Regular,7,738.69
374608,22,Male,Canada,Vancouver,2023-07-21,Silver,Mobile,Budget,11,904.64
278390,59,Male,India,Delhi,2024-08-24,Free,Desktop,Budget,16,1556.34
451168,56,Female,Australia,Melbourne,2024-09-30,Platinum,Mobile,Budget,15,1367.22
453282,24,Other,India,Delhi,2023-01-17,Silver,Mobile,Regular,8,643.62
681124,33,Other,India,Pune,2024-07-11,Silver,Mobile,Budget,0,50.0
510195,63,Male,India,Delhi,2023-05-14,Silver,Mobile,Premium,11,1227.36
176850,41,Male,Canada,Toronto,2023-01-18,Gold,Tablet,Regular,14,1808.2
858239,63,Other,India,Hyderabad,2023-09-22,Platinum,Tablet,Budget,8,975.19
578954,53,Other,USA,New York,2023-01-19,Free,Desktop,Budget,0,59.23
506486,19,Other,India,Delhi,2024-06-25,Silver,Desktop,Premium,16,1612.87
701010,20,Male,UK,London,2024-08-21,Free,Mobile,Premium,10,1058.5
916566,34,Male,India,Bengaluru,2023-05-06,Free,Mobile,Regular,8,647.41
452432,50,Other,UK,Manchester,2023-07-07,Free,Mobile,Premium,14,1726.34
117100,18,Other,India,Hyderabad,2023-03-05,Free,Mobile,Regular,10,844.99
298245,41,Male,Germany,Munich,2025-01-14,Free,Mobile,Regular,7,609.27
714677,27,Male,Canada,Vancouver,2025-05-03,Silver,Desktop,Budget,11,1316.44
192439,24,Other,India,Bengaluru,2024-05-28,Silver,Mobile,VIP,4,658.68
971999,64,Female,Germany,Berlin,2025-02-19,Free,Mobile,Regular,7,656.03
758838,50,Other,India,Bengaluru,2023-08-08,Free,Desktop,Regular,14,1654.03
481173,32,Female,Canada,Toronto,2023-08-09,Silver,Mobile,VIP,9,818.95
113452,61,Female,Germany,Berlin,2024-05-07,Gold,Mobile,Budget,10,1281.71
469008,63,Female,India,Hyderabad,2025-02-16,Gold,Desktop,Budget,4,726.38
340259,61,Male,Canada,Toronto,2023-12-23,Free,Mobile,VIP,13,1147.93
525427,39,Male,India,Pune,2024-12-06,Silver,Mobile,Premium,0,363.55
657839,27,Female,USA,Seattle,2025-06-03,Silver,Desktop,Budget,7,797.02
625344,53,Male,India,Pune,2023-05-15,Silver,Tablet,Budget,14,1349.22
858816,26,Other,UK,Manchester,2025-02-16,Free,Mobile,Regular,4,429.37
964121,50,Female,Australia,Sydney,2023-06-04,Free,Desktop,Premium,7,1215.77
162627,64,Other,Germany,Berlin,2024-04-19,Gold,Mobile,Regular,9,1479.38
769831,31,Female,UK,London,2024-05-15,Gold,Mobile,Regular,7,960.25
401677,62,Male,India,Mumbai,2024-11-28,Platinum,Desktop,Premium,3,192.29
618813,30,Male,Singapore,Singapore,2025-03-10,Gold,Desktop,Premium,11,1143.52
901308,47,Male,India,Delhi,2023-04-15,Free,Mobile,Budget,12,1586.93
760593,38,Female,USA,Austin,2023-11-20,Silver,Mobile,Regular,9,1006.36
855284,28,Other,UAE,Dubai,2023-08-29,Free,Desktop,Budget,5,664.57
344709,30,Other,UAE,Abu Dhabi,2024-02-09,Gold,Mobile,VIP,0,145.49
670603,53,Female,Singapore,Singapore,2025-03-30,Free,Mobile,Premium,16,1615.26
607313,57,Female,Germany,Munich,2023-01-26,Gold,Tablet,Regular,10,901.51
286216,29,Male,Australia,Sydney,2024-01-21,Platinum,Desktop,Regular,5,545.28
261230,59,Other,USA,New York,2024-10-24,Free,Desktop,Budget,13,1272.77
662435,27,Female,Australia,Sydney,2024-12-21,Free,Mobile,Regular,1,50.0
566091,29,Female,Canada,Vancouver,2023-12-12,Silver,Desktop,Regular,0,199.56
496980,20,Other,India,Delhi,2023-09-26,Platinum,Mobile,Regular,7,983.13
888162,39,Other,USA,New York,2023-09-08,Free,Mobile,Regular,0,404.29
583703,45,Other,India,Bengaluru,2025-01-17,Gold,Mobile,Premium,8,574.19
146273,50,Male,Singapore,Singapore,2023-03-16,Silver,Desktop,Regular,13,1459.51
110645,46,Male,Germany,Berlin,2024-09-08,Free,Mobile,Premium,3,521.43
241272,42,Male,Canada,Toronto,2024-02-09,Free,Desktop,Premium,12,1266.01
578507,61,Other,India,Pune,2024-05-15,Free,Mobile,Premium,3,632.78
302560,45,Female,India,Pune,2025-03-24,Silver,Mobile,Budget,1,278.65
122029,48,Male,Canada,Vancouver,2025-03-03,Silver,Mobile,Budget,10,1047.29
368815,61,Female,India,Mumbai,2024-04-01,Gold,Mobile,Regular,3,308.11
937695,21,Other,UAE,Dubai,2023-02-05,Gold,Mobile,Budget,2,364.65
469148,25,Other,UAE,Dubai,2023-07-08,Silver,Tablet,VIP,11,1004.82
818239,49,Female,India,Delhi,2024-02-10,Free,Mobile,Premium,5,462.44
385139,52,Other,USA,Seattle,2023-08-13,Gold,Mobile,Regular,14,1750.39
555363,41,Other,USA,New York,2024-09-10,Platinum,Tablet,VIP,4,663.48
765078,24,Male,USA,New York,2024-05-27,Free,Desktop,Regular,6,406.29
540776,35,Female,USA,New York,2023-11-13,Free,Tablet,Budget,1,321.51
100372,43,Other,USA,Seattle,2023-11-22,Free,Mobile,Budget,11,1252.93
213897,43,Female,India,Hyderabad,2024-10-22,Silver,Desktop,Budget,13,1336.97
747584,37,Female,Canada,Vancouver,2024-04-27,Free,Mobile,Regular,11,960.26
165650,26,Other,Singapore,Singapore,2023-01-02,Gold,Mobile,Premium,15,1703.22
635109,62,Other,Canada,Toronto,2024-10-23,Free,Mobile,Premium,9,785.06
472308,33,Male,India,Pune,2024-10-02,Free,Mobile,Budget,7,945.72
841398,24,Other,India,Hyderabad,2025-05-11,Silver,Mobile,Budget,5,779.68
193101,65,Female,USA,Seattle,2023-06-07,Free,Mobile,Premium,4,377.35
186932,32,Female,India,Mumbai,2025-01-08,Free,Mobile,Budget,11,1177.35
554243,58,Other,USA,Seattle,2023-09-20,Free,Mobile,VIP,8,717.45
108977,37,Other,Australia,Sydney,2024-03-12,Silver,Desktop,Regular,2,361.41
934388,33,Male,Germany,Munich,2025-03-12,Free,Mobile,Budget,0,201.58
661828,61,Female,India,Mumbai,2025-05-17,Gold,Mobile,Premium,12,1438.94
495794,48,Female,India,Hyderabad,2024-11-20,Free,Tablet,Budget,5,687.72
177053,61,Other,India,Delhi,2023-07-14,Gold,Mobile,Budget,9,1016.43
673133,47,Female,USA,Seattle,2024-03-30,Silver,Desktop,Regular,16,1808.69
827927,21,Female,USA,New York,2023-07-15,Gold,Desktop,Premium,5,998.0
765943,65,Male,Singapore,Singapore,2023-09-23,Gold,Mobile,Premium,1,277.06
523842,39,Male,UAE,Abu Dhabi,2023-12-31,Free,Desktop,Regular,9,1237.01
130552,33,Female,UK,Manchester,2024-11-25,Free,Mobile,Regular,14,1444.18
438121,40,Female,Singapore,Singapore,2024-12-19,Free,Desktop,Regular,7,781.77
375293,49,Other,Germany,Berlin,2025-03-19,Free,Mobile,Regular,14,1687.36
595463,41,Other,India,Bengaluru,2024-03-05,Free,Mobile,Budget,13,1345.11
134635,29,Other,USA,Seattle,2024-10-13,Free,Desktop,Regular,8,740.45
887286,34,Other,India,Pune,2023-04-25,Free,Mobile,VIP,14,1621.41
688867,27,Male,Australia,Sydney,2023-03-09,Free,Mobile,Budget,12,1324.44
451095,39,Male,India,Bengaluru,2023-06-02,Gold,Mobile,Regular,6,997.83
534185,32,Other,UAE,Abu Dhabi,2023-04-23,Silver,Mobile,Regular,11,1131.12
465289,38,Other,India,Mumbai,2024-09-04,Platinum,Mobile,Budget,9,1094.17
124947,43,Other,USA,Austin,2024-01-27,Free,Mobile,Regular,12,1360.95
770174,63,Female,Canada,Vancouver,2023-11-27,Gold,Desktop,Regular,5,720.87
766982,35,Other,India,Hyderabad,2023-07-10,Gold,Tablet,Regular,9,1247.48
271818,63,Female,USA,Seattle,2024-08-10,Free,Mobile,Regular,16,1620.31
539393,41,Female,UAE,Abu Dhabi,2025-06-17,Free,Tablet,Regular,14,1347.36
167367,48,Other,India,Pune,2024-04-10,Free,Desktop,Regular,0,62.46
852581,59,Male,India,Delhi,2025-02-10,Free,Mobile,Regular,3,282.41
812037,28,Female,India,Mumbai,2023-05-25,Free,Tablet,Premium,1,124.65
250978,62,Other,USA,Austin,2023-06-12,Free,Mobile,Premium,17,1761.39
490185,34,Male,Canada,Vancouver,2023-03-06,Free,Mobile,Regular,5,648.72
801246,51,Male,Singapore,Singapore,2024-10-09,Silver,Mobile,Budget,1,340.06
346377,65,Male,India,Delhi,2023-01-26,Silver,Mobile,Budget,6,954.65
880260,37,Male,UK,London,2023-10-30,Gold,Mobile,Regular,3,482.16
182183,39,Male,India,Pune,2024-06-16,Silver,Mobile,Regular,9,602.16
964820,33,Female,Canada,Vancouver,2025-06-11,Free,Mobile,Budget,3,334.79
758004,34,Male,USA,New York,2025-02-09,Free,Mobile,Regular,1,385.43
159935,43,Male,India,Delhi,2023-07-19,Silver,Tablet,VIP,7,853.2
894886,28,Other,India,Mumbai,2023-10-16,Free,Mobile,Regular,0,150.02
643892,22,Other,Singapore,Singapore,2023-10-18,Free,Desktop,Premium,10,1120.98
506017,41,Male,India,Delhi,2024-03-07,Free,Desktop,Regular,16,1605.43
663647,45,Female,India,Delhi,2023-01-15,Silver,Mobile,Premium,6,899.39
421035,44,Female,Australia,Sydney,2023-04-24,Silver,Mobile,Regular,15,1790.13
253238,42,Male,USA,Austin,2024-08-26,Platinum,Mobile,Budget,9,1143.07
787794,56,Other,UK,Manchester,2025-04-30,Gold,Mobile,Budget,14,1584.24
909974,56,Male,UK,Manchester,2024-11-10,Free,Mobile,Regular,10,883.65
405339,32,Female,USA,Seattle,2024-08-31,Free,Desktop,Budget,5,645.75
913834,60,Female,India,Bengaluru,2023-09-16,Gold,Mobile,VIP,7,952.45
976268,45,Female,Germany,Munich,2023-11-20,Free,Mobile,Regular,4,868.04
508167,34,Male,Australia,Sydney,2023-04-25,Gold,Tablet,Premium,9,1045.82
486387,28,Other,Canada,Vancouver,2025-06-18,Free,Tablet,Budget,0,50.0
232613,36,Male,Canada,Vancouver,2024-03-05,Silver,Mobile,Premium,9,1028.81
660904,40,Female,India,Delhi,2023-05-22,Silver,Desktop,Premium,1,50.51
454129,32,Male,India,Hyderabad,2025-04-07,Free,Desktop,Budget,4,858.8
642222,64,Female,Australia,Sydney,2025-03-08,Free,Mobile,Budget,10,1340.67
225374,26,Male,India,Bengaluru,2023-01-11,Silver,Mobile,Regular,11,1424.96
760201,36,Other,India,Pune,2024-10-23,Free,Tablet,Regular,21,2128.86
274904,25,Male,India,Bengaluru,2024-06-17,Silver,Mobile,Premium,9,736.09
941248,21,Male,Canada,Vancouver,2024-10-29,Platinum,Desktop,Premium,4,605.03
717920,35,Male,India,Mumbai,2024-01-19,Silver,Tablet,Budget,9,888.12
505008,24,Male,India,Delhi,2024-10-05,Gold,Mobile,Regular,5,652.02
553175,37,Female,Singapore,Singapore,2024-09-15,Free,Tablet,Premium,6,810.17
165070,31,Other,India,Pune,2023-11-11,Free,Mobile,Budget,7,1247.58
877372,58,Other,Canada,Vancouver,2024-07-06,Free,Tablet,Premium,10,982.88
242622,50,Male,India,Delhi,2023-03-16,Free,Mobile,Premium,9,527.45
576830,26,Male,India,Hyderabad,2023-12-03,Gold,Mobile,Regular,11,1109.7
800917,21,Male,India,Pune,2025-05-21,Free,Mobile,Budget,8,1052.95
121613,21,Male,Australia,Sydney,2023-09-20,Gold,Mobile,VIP,13,1453.49
466518,26,Other,Singapore,Singapore,2023-08-07,Free,Mobile,Regular,12,1449.12
571569,43,Female,India,Pune,2024-05-21,Gold,Mobile,Budget,7,851.84
874315,18,Male,USA,Seattle,2025-03-16,Platinum,Mobile,Premium,8,818.04
876118,44,Female,UAE,Dubai,2025-04-11,Gold,Desktop,Regular,14,1297.64
855117,55,Female,UAE,Abu Dhabi,2025-01-14,Gold,Mobile,Budget,13,1483.43
845565,32,Male,India,Hyderabad,2023-05-09,Silver,Tablet,Regular,6,654.95
801323,24,Female,USA,New York,2025-04-01,Gold,Tablet,Regular,8,961.22
573063,33,Other,India,Mumbai,2025-02-07,Gold,Mobile,Regular,5,499.89
418563,21,Male,UK,London,2024-01-19,Silver,Mobile,Regular,12,1456.4
549848,55,Other,India,Hyderabad,2025-03-29,Silver,Desktop,Regular,2,407.99
929538,46,Other,Canada,Toronto,2024-08-12,Free,Desktop,Regular,8,639.21
911937,28,Female,India,Bengaluru,2023-11-13,Free,Mobile,Regular,10,1124.49
129630,50,Other,India,Delhi,2024-04-22,Silver,Tablet,Budget,0,50.0
266280,28,Other,Canada,Vancouver,2023-10-16,Silver,Mobile,Premium,7,968.91
646927,28,Male,UAE,Abu Dhabi,2023-12-26,Free,Desktop,Regular,8,946.75
440636,24,Male,Singapore,Singapore,2024-02-05,Free,Mobile,Regular,15,2007.63
641948,54,Other,Canada,Toronto,2023-12-18,Platinum,Mobile,Regular,4,808.77
639722,49,Male,India,Mumbai,2023-01-02,Free,Mobile,Budget,8,1215.56
683614,41,Other,Germany,Munich,2023-09-14,Gold,Mobile,Regular,0,343.18
244044,41,Male,India,Bengaluru,2024-10-05,Gold,Mobile,Premium,3,240.36
460260,60,Other,Singapore,Singapore,2023-11-23,Silver,Mobile,Regular,8,985.14
624416,48,Male,UAE,Dubai,2024-11-15,Free,Mobile,Budget,15,1338.89
209867,33,Other,India,Pune,2023-10-06,Silver,Mobile,Regular,16,1970.08
671953,47,Other,Germany,Berlin,2024-01-25,Free,Tablet,Premium,3,577.56
861608,18,Female,Australia,Sydney,2024-06-30,Free,Mobile,Premium,7,780.01
486925,63,Other,India,Hyderabad,2023-09-10,Free,Mobile,Budget,10,990.16
335829,61,Other,USA,New York,2023-01-03,Free,Mobile,Budget,0,372.26
697882,41,Female,USA,Seattle,2024-08-06,Silver,Mobile,Premium,5,640.97
456600,24,Female,India,Pune,2024-01-15,Free,Mobile,Budget,0,168.57
197367,25,Female,India,Mumbai,2025-04-09,Free,Desktop,Premium,2,439.78
384951,57,Other,India,Bengaluru,2024-05-05,Free,Mobile,Budget,7,680.09
630895,26,Female,UK,London,2023-04-04,Gold,Mobile,Budget,5,799.18
355054,32,Male,India,Pune,2024-01-10,Free,Mobile,Regular,11,1114.94
313146,60,Other,UK,Manchester,2025-01-11,Silver,Mobile,Regular,15,1726.15
437701,40,Other,UK,Manchester,2023-10-26,Gold,Mobile,Regular,9,773.91
377399,52,Female,India,Mumbai,2024-12-24,Gold,Mobile,Regular,8,966.18
517511,24,Male,USA,Austin,2025-06-10,Gold,Desktop,Budget,19,1971.57
145114,63,Other,USA,Seattle,2023-12-18,Gold,Desktop,Regular,19,1848.1
624861,30,Female,UAE,Abu Dhabi,2023-09-06,Free,Desktop,VIP,10,1096.3
184265,44,Other,India,Mumbai,2023-04-19,Free,Tablet,Regular,10,1061.35
306668,25,Female,India,Mumbai,2023-08-22,Gold,Mobile,Regular,13,1716.85
629668,35,Female,India,Bengaluru,2024-03-15,Free,Mobile,Premium,3,768.07
309190,50,Male,India,Bengaluru,2024-05-22,Free,Desktop,Budget,6,499.83
894941,33,Male,USA,Seattle,2024-04-25,Silver,Desktop,Regular,12,1210.67
117993,40,Other,UAE,Abu Dhabi,2023-11-01,Silver,Mobile,Premium,17,1733.73
303594,45,Other,USA,Seattle,2024-10-25,Silver,Desktop,VIP,11,1364.22
381280,29,Female,UK,Manchester,2025-05-17,Free,Tablet,Regular,0,526.61
692051,33,Female,India,Mumbai,2023-02-18,Free,Mobile,Regular,0,50.0
342145,22,Male,India,Mumbai,2024-09-05,Gold,Mobile,VIP,3,403.56
189233,20,Male,USA,Austin,2025-05-13,Free,Desktop,Regular,4,584.43
729252,48,Other,India,Pune,2024-06-23,Free,Mobile,Regular,0,109.9
432428,59,Male,India,Pune,2025-04-28,Free,Mobile,Regular,8,930.57
187808,29,Male,India,Mumbai,2024-07-09,Free,Mobile,Premium,2,481.46
457715,24,Male,USA,New York,2025-06-06,Free,Mobile,Regular,1,539.53
681471,58,Female,Singapore,Singapore,2025-01-14,Free,Mobile,Regular,1,88.97
663800,24,Female,UK,London,2025-05-30,Free,Mobile,Regular,9,839.22
239950,36,Male,USA,Austin,2023-03-19,Free,Mobile,Budget,11,1160.62
948318,48,Male,Singapore,Singapore,2023-11-05,Free,Mobile,Premium,14,1621.5
660131,33,Female,Germany,Berlin,2024-02-23,Silver,Mobile,Budget,6,594.03
242025,25,Female,India,Bengaluru,2024-03-03,Platinum,Mobile,VIP,12,1301.19
924264,49,Other,India,Mumbai,2024-03-27,Free,Tablet,Budget,10,1170.55
607467,50,Other,India,Bengaluru,2023-06-22,Platinum,Tablet,Premium,7,699.82
616200,24,Other,India,Delhi,2025-03-31,Free,Mobile,Budget,15,1398.38
866048,50,Male,Australia,Melbourne,2023-10-02,Free,Mobile,VIP,13,1028.44
517706,35,Female,UK,Manchester,2023-02-16,Free,Mobile,Premium,11,1154.81
914695,42,Male,India,Mumbai,2024-05-09,Free,Desktop,Budget,11,1113.56
129595,34,Other,India,Mumbai,2024-04-26,Gold,Desktop,Budget,13,1537.25
369328,50,Female,USA,New York,2025-05-17,Free,Mobile,Regular,8,1001.76
848435,60,Male,India,Pune,2023-05-25,Free,Desktop,Premium,13,1342.09
973230,58,Other,India,Hyderabad,2025-03-20,Free,Desktop,Regular,11,1308.92
968457,23,Other,USA,Austin,2025-01-16,Gold,Mobile,Regular,10,1254.3
706018,63,Male,India,Hyderabad,2025-05-10,Silver,Desktop,Premium,14,1641.08
609733,32,Female,Canada,Vancouver,2024-11-27,Gold,Mobile,Regular,0,50.0
457062,24,Female,Singapore,Singapore,2024-05-06,Silver,Desktop,Premium,3,784.71
515040,42,Male,USA,New York,2023-01-29,Free,Desktop,Regular,9,788.86
335038,52,Male,India,Bengaluru,2024-01-15,Free,Mobile,Regular,8,1069.72
981160,43,Other,India,Bengaluru,2023-07-25,Free,Mobile,Premium,5,916.27
625606,40,Female,Singapore,Singapore,2025-05-05,Free,Desktop,Regular,9,904.5
232231,33,Male,Germany,Munich,2025-06-12,Gold,Desktop,Regular,3,392.15
739370,62,Other,India,Pune,2024-10-26,Free,Mobile,Budget,13,1446.44
765617,39,Male,USA,Seattle,2023-11-20,Free,Mobile,Premium,0,50.0
106250,29,Male,India,Mumbai,2023-07-05,Silver,Desktop,Budget,6,952.45
932347,40,Male,India,Hyderabad,2023-07-31,Gold,Mobile,Budget,3,465.82
928926,37,Female,UK,London,2024-02-28,Gold,Mobile,Budget,14,1363.14
730401,31,Other,Germany,Berlin,2024-02-05,Platinum,Mobile,Premium,0,50.0
738748,47,Male,India,Hyderabad,2024-10-03,Free,Mobile,Premium,3,371.58
618494,32,Male,Singapore,Singapore,2023-04-11,Silver,Mobile,Regular,7,596.09
460075,21,Other,UAE,Abu Dhabi,2024-09-28,Free,Mobile,Regular,6,452.48
829580,43,Male,USA,Seattle,2023-09-22,Silver,Mobile,Regular,6,520.44
713022,41,Female,Singapore,Singapore,2023-08-09,Free,Mobile,Premium,14,1593.88
228257,19,Female,Singapore,Singapore,2024-08-26,Gold,Mobile,Premium,5,526.44
824848,55,Male,India,Hyderabad,2023-03-16,Free,Tablet,Regular,12,1058.05
154982,57,Male,USA,New York,2024-05-09,Silver,Mobile,Budget,10,1228.34
478164,24,Female,India,Hyderabad,2024-03-12,Silver,Mobile,Budget,4,466.08
583143,64,Other,India,Bengaluru,2025-01-17,Free,Mobile,Budget,1,74.8
479417,48,Male,India,Hyderabad,2024-06-13,Free,Mobile,Budget,12,1365.94
801442,28,Male,UAE,Dubai,2023-09-27,Gold,Mobile,Premium,4,352.02
997372,23,Male,UK,Manchester,2023-09-08,Silver,Tablet,VIP,2,739.57
541200,18,Male,Germany,Munich,2024-06-21,Silver,Desktop,Regular,5,655.27
